officer_id,officer_name,star,rank,unit,as_of
104,"ALESIA, MICHAEL",18480,PO,010,2015-09-01
105,"ALESSI, CHRISTINE",3109,PO,124,2015-09-01
106,"ALEXA, MICHELENE",805,SGT,213,2015-09-01
107,"ALEXANDER JR, GENE",8860,PO,002,2015-09-01
108,"ALEXANDER, DARIUS",7727,PO,376,2015-09-01
109,"ALEXANDER, DARLENE",19249,PO,016,2015-09-01
110,"ALEXANDER, ROSS",12905,PO,012,2015-09-01
111,"ALEXE, ELENA",19838,PO,020,2015-09-18
112,"ALFARO, JOSEPH",13813,PO,017,2015-09-01
113,"ALFARO, JOSEPHJAM",8030,PO,015,2015-09-01
114,"ALGARIN, JOEL",14598,PO,024,2015-09-01
115,"ALGHINI, LISA",3324,PO,009,2015-09-01
116,"ALI, JAVED",8411,PO,005,2015-09-01
117,"ALI, MEER",,PO,019,2015-09-01
118,"ALI, MOHAMMED",7241,PO,004,2015-09-18
119,"ALIOTO, ROCCO",9230,PO,025,2015-09-01
120,"ALLAN, JOHN",,DET,376,2015-09-01
121,"ALLEGRETTI, MICHAEL",,,,2015-09-01
122,"ALLEN, DANIEL",1442,SGT,011,2015-09-01
123,"ALLEN, DAVID",6348,PO,376,2015-11-14
124,"ALLEN, DEBORAH",13337,PO,166,2015-09-01
125,"ALLEN, DENOTRA",5196,PO,376,2015-09-01
126,"ALLEN, EDWARD",,,018,2015-09-01
127,"ALLEN, GLORIA",11090,PO,171,2015-09-01
128,"ALLEN, HENRY",14560,PO,213,2006-05-09
129,"ALLEN, JAMES",9253,PO,020,2015-09-01
130,"ALLEN, JEFFREY",1851,SGT,015,2015-09-01
131,"ALLEN, KEVIN",12788,PO,022,2015-09-01
132,"ALLEN, PHOEBE",9092,PO,002,2015-09-01
133,"ALLEN, REGAN",15090,PO,003,2015-09-18
134,"ALLEN, VINCENT",18439,FTO,006,2015-09-01
135,"ALLENSON, SAGE",17524,PO,313,2015-09-01
135,"ALLENSON, SAGE",,,393,2015-09-01
136,"ALMANZA, JOSE",3093,PO,193,2015-09-18
