officer_id,officer_name,star,rank,unit,as_of
1794,"DAVROS, GEORGE",14505,PO,312,2015-09-01
1795,"DAVY, CHRISTOPH",1489,SGT,004,2015-09-01
1796,"DAVY, TIMOTHY",21411,DET,620,2015-09-01
1797,"DAY, JAMES",14632,PO,016,2015-09-01
1798,"DAY, RONALD",20869,DET,630,2015-09-01
1799,"DE CICCO, CHARLES",6215,PO,016,2015-09-01
1800,"DE CICCO, JAMES",21006,,,2015-09-01
1801,"DE JESUS, JOSE",2014,,,2015-09-01
1802,"DE JESUS, NESTOR",15342,,,2015-09-01
1803,"DE LA HUERTA, ROY",10009,PO,009,2015-09-01
1804,"DE LA TORRE, MIGUEL",2699,SGT,009,2015-09-01
1805,"DE LEON, FREDDIE",8097,,,2015-09-01
1806,"DE LOPEZ, DANIEL",15612,PO,193,2015-09-01
1806,"DE LOPEZ, DANIEL",,,193,2015-09-01
1807,"DE MATO, DAVID",20145,,,2015-09-18
1808,"DE MONICA JR, JOSEPH",,PO,010,2015-03-11
1809,"DE SALVO, STEVEN",20779,DET,630,2008-12-05
1810,"DE VRIES, DUANE",250,LT,191,2015-11-14
1811,"DE YOUNG, DEBRA",,SGT,630,2015-09-01
1812,"DEANE, DAVID",20928,DET,630,2008-12-05
1813,"DEANE, MICHAEL",,PO,018,2015-09-01
1814,"DEANES, COREY",19039,PO,019,2015-09-01
1815,"DEARTH, ROBERT",9022,PO,701,2015-09-01
1816,"DEBOSE, MARC",12694,PO,007,2015-09-01
1817,"DECANTO, CHRISTOPH",16028,PO,011,2015-09-01
1818,"DECEMBER, KERRY",7647,,,2008-12-05
1819,"DECKER, MICHAEL",18838,PO,024,2008-12-05
1820,"DEDO, EDWARD",16763,PO,011,2015-09-18
1821,"DEDORE, JACK",,SGT,311,2015-09-01
1822,"DEDORE, SCOTT",254,LT,193,2015-09-01
1823,"DEENIHAN, SEAN",7843,PO,025,2008-12-05
1824,"DEEREN, KEVIN",9721,PO,010,2015-09-01
1825,"DEERING, DANIELLE",13716,PO,006,2015-09-01
1826,"DEFERVILLE, JOSEPH",19208,PO,025,2015-03-11
1827,"DEHAAN, DARREN",14203,PO,211,2015-03-11
1828,"DEITELHOFF, KEITH",18846,PO,008,2015-09-01
1829,"DEJA, DAVID",2051,SGT,014,2015-09-01
1830,"DEJATIVONG, TAHCH",14135,PO,212,2015-09-01
1831,"DEJESUS, BRIAN",6332,PO,393,2015-03-11
1832,"DEJESUS, JAN ASHLEY",3854,PO,014,2006-05-09
1833,"DEL BOSQUE, STEPHEN",15332,,153,2015-03-11
1834,"DEL COIRO, LOUIS",11738,PO,004,2006-05-09
1835,"DEL MUNDO, ROCKWELL",7215,PO,024,2015-03-11
1836,"DEL NODAL, PETER",8584,PO,025,2015-03-11
1837,"DEL OLMO, EDGAR",9653,PO,005,2015-09-01
1838,"DEL PILAR, JOSEPH",1081,SGT,018,2008-12-05
1839,"DEL PILAR, MELISSA",4440,PO,014,2015-09-01
1840,"DEL RASO, ALICE",6440,,542,2015-09-01
1841,"DEL RASO, LUCIA",,PO,012,2015-09-01
1842,"DEL RIVERO, SAUL",,DET,610,2015-09-18
1843,"DEL TORO JR, HERMOGE",8853,,,2015-09-01
1844,"DEL TORO, GERMAN",12501,PO,001,2015-03-11
1845,"DEL VALLE, AARON",,PO,009,2008-12-05
1846,"DELA CRUZ, ALEJANDRO",18959,PO,009,2008-12-05
1847,"DELACY, RHONDA",19642,PO,002,2006-05-09
1848,"DELAFONT, JAMES",2427,SGT,024,2015-09-01
1849,"DELANEY, ANDREA",1510,SGT,005,2015-09-01
1850,"DELANEY, ANDREA",10635,,,2015-09-01
1851,"DELANEY, RYAN",4024,PO,313,2015-09-01
1852,"DELANNOY, LEOPOLDO",8908,PO,015,2015-09-01
1853,"DELAO, EDWARD",1946,SGT,007,2015-09-01
1854,"DELATORRE JR, CARLOS",5284,PO,006,2015-09-01
1854,"DELATORRE JR, CARLOS",19182,PO,006,2015-09-01
1855,"DELAVEGA, GIOVANNIE",,PO,044,2015-09-01
1856,"DELCID, ROBERTO",19548,PO,193,2015-09-01
1857,"DELDERFIELD, GEOFFREY",3920,PO,050,2015-09-01
1858,"DELEON, GLADYS",14526,PO,011,2015-09-01
1859,"DELEON, GUADALUPE",14674,PO,015,2015-09-01
1860,"DELEON, JOSE",14421,PO,025,2008-12-05
1861,"DELES, VITA",12951,PO,015,2008-12-05
1862,"DELFAVERO, MARC",20063,DET,620,2008-12-05
1862,"DELFAVERO, MARC",,,620,2015-09-01
1863,"DELGADILLO, ALFREDO",17712,PO,411,2015-09-01
1864,"DELGADO FERNANDEZ, ENRIQUE",6261,PO,004,2008-12-05
1865,"DELGADO JR, MIGUEL",18560,PO,004,2015-09-01
1866,"DELGADO JR, PABLO",18976,PO,022,2015-09-01
1866,"DELGADO JR, PABLO",,,009,2008-12-05
1867,"DELGADO, ARTURO",14248,PO,011,2015-09-01
1868,"DELGADO, CARLOS",2814,PO,011,2015-09-01
1869,"DELGADO, JESUS",10720,PO,007,2015-09-01
1870,"DELGADO, JOSE",15169,PO,007,2015-09-01
1871,"DELGADO, MIRYAM",12892,PO,010,2015-09-01
1872,"DELGADO, THOMAS",9321,,,2015-09-01
1873,"DELGADO, XAVIER",934,SGT,001,2015-09-01
1874,"DELISLE, JAMES",16849,PO,005,2015-09-01
1875,"DELOUGHERY, DOLORES",,Cpt,126,2015-09-01
1876,"DELPILAR, DAVID",1616,SGT,011,2015-09-01
1877,"DELTORO, MIGUEL",11540,PO,011,2008-12-05
1878,"DELUNA JR, GONZALO",17073,PO,005,2015-09-01
1879,"DELVALLE, HENRY",6948,PO,012,2015-09-01
1880,"DELVALLE, RUBEN",11075,PO,606,2015-09-01
1881,"DEMARCO, MICHAEL",14208,PO,025,2015-09-01
1882,"DEMAS, JASON",7982,PO,007,2015-09-01
1883,"DEMBOWSKI, WAYNE",19784,PO,016,2015-09-01
1884,"DEMBSKI, ROBERT",15630,PO,189,2015-09-18
1885,"DEMCAK, MICHAEL",8761,,253,2015-09-01
1886,"DEMCAK, MICHAEL",21440,DET,620,2015-09-01
1887,"DEMERITTE JR, ANTHONY",2894,PO,411,2015-09-01
1888,"DENHAM, LEVESTER",275,LT,003,2015-09-18
1888,"DENHAM, LEVESTER",1986,SGT,002,2015-09-18
1889,"DENNIS, ANDRE",9036,PO,005,2015-09-01
1890,"DENNIS, ARSHELL",17558,PO,189,2015-09-01
1890,"DENNIS, ARSHELL",,,006,2008-12-05
1891,"DENT, SHEROD",16475,PO,606,2006-05-09
1892,"DENTON, DERRICK",19152,PO,189,2015-09-01
1893,"DEO, USHA",11975,PO,020,2015-09-01
1894,"DEPRIZIO, MICHAEL",19622,PO,015,2015-09-01
1895,"DERCOLA, MATT",15740,PO,312,2015-09-01
1896,"DEROSA, JOSEPH",13022,PO,213,2015-09-01
1897,"DEROUIN, THOMAS",7619,PO,004,2015-09-01
1898,"DESAI, RISHI",10409,PO,193,2015-09-01
1899,"DESMOND, JAMES",2060,SGT,411,2015-09-01
1899,"DESMOND, JAMES",19959,PO,004,2015-09-01
1900,"DEVAN, BRIAN",1589,SGT,009,2008-12-05
1901,"DEVAN, BRIAN",3871,,,2015-09-01
1902,"DEVEREUX, GEORGE",30,Cpt,006,2015-09-01
1903,"DEVINE, MICHAEL",4080,PO,022,2015-09-01
1904,"DEVINE, PETER",1264,,640,2015-09-01
1905,"DEWITT, BRANDON",11874,PO,004,2015-09-01
1906,"DI FRANCO, MARCO",19312,PO,189,2015-03-11
1907,"DI MEO, MARK",20584,DET,384,2008-12-05
1907,"DI MEO, MARK",,,630,2015-09-01
1908,"DI PASQUALE, GERALD",14224,,,2015-09-01
1909,"DI PASQUALE, GERALD",20202,DET,620,2015-09-01
1910,"DI PINTO, JOSEPH",930,SGT,015,2015-09-18
1910,"DI PINTO, JOSEPH",8296,,015,2015-09-01
1911,"DI SANTI, DAVID",18384,PO,017,2015-09-01
1912,"DIAL, GREGORY",9311,PO,016,2015-09-01
1913,"DIALLO, SALIOU",9105,PO,241,2015-09-01
1914,"DIAZ, CARLOS",5206,PO,014,2015-09-01
1915,"DIAZ, DANIEL",7673,PO,353,2015-09-01
1916,"DIAZ, DANIEL",10269,PO,016,2015-09-01
1917,"DIAZ, DAVID",11957,PO,019,2015-09-01
1918,"DIAZ, EDIBERTO",10299,PO,376,2015-09-01
1919,"DIAZ, EDWIN",7213,PO,212,2015-09-01
1920,"DIAZ, JESSE",5858,PO,006,2015-09-01
1921,"DIAZ, JOSE",9518,PO,311,2015-09-01
1922,"DIAZ, JUAN",14080,,,2015-09-01
1923,"DIAZ, MARK",13539,PO,213,2015-09-01
1924,"DIAZ, PEDRO",13345,PO,007,2015-09-01
1925,"DIAZ, VICENTE",4599,PO,012,2015-09-01
1926,"DIAZ, YESENIA",3116,PO,017,2015-09-01
1927,"DIBIASE, JONATHAN",14050,PO,008,2015-09-01
1928,"DIBLASI, KEVIN",11538,PO,007,2015-09-01
1929,"DIBLICH, MATTHEW",6643,PO,189,2015-09-01
1930,"DICARLO, ANTONIO",17638,PO,006,2008-12-05
1931,"DICARLO, ANTONIO",17647,,,2015-09-01
1932,"DICKENS, DARRIN",15300,PO,002,2015-09-01
1933,"DICKENS, JULIE",5817,PO,001,2015-09-01
1934,"DICKERSON JR, SAMUEL",2447,SGT,193,2015-09-01
1935,"DIEBALL, CHRIS",14889,PO,016,2015-09-01
1935,"DIEBALL, CHRIS",,,189,2015-09-01
1936,"DIETRICH, LAWRENCE",,PO,024,2015-09-01
1937,"DIEZ, CLAUDE",6153,PO,018,2015-09-01
1938,"DIFRANCO, SAL",7617,PO,189,2015-09-01
1939,"DIGBY, EARL",19130,PO,002,2015-09-01
1940,"DIGGS, ELEANOR",6249,PO,001,2015-09-01
1941,"DIGGS, GAYLE",2597,SGT,189,2015-09-01
1942,"DIGRAZIA, SCOTT",10529,PO,005,2008-12-05
1942,"DIGRAZIA, SCOTT",,,010,2006-05-09
1943,"DILIBERTO, ROBERT",10150,PO,001,2015-03-11
1944,"DILLARD, RODERICK",7423,PO,312,2006-05-09
1945,"DILLON, JAMES",17331,PO,311,2015-09-01
1946,"DILUIGI, DOMINIC",,,,2015-09-18
1947,"DIMALANTA, ALVIN",19343,PO,019,2015-09-01
1948,"DIMALANTA, JUDE",17266,PO,016,2015-09-01
1949,"DIMALANTA, NOY",19885,PO,024,2015-09-01
1950,"DIMAS, CONSTANTI",5420,PO,007,2015-09-01
1951,"DIMATTEO, DANIEL",,,253,2015-09-18
1952,"DIMOFF, DAVID",2804,PO,007,2015-09-01
1953,"DINEEN, CHARLES",8113,PO,001,2015-09-01
1954,"DINEEN, JOHN",7788,,,2015-09-18
1955,"DINEEN, MICHAEL",1755,SGT,004,2015-09-01
1956,"DINEEN, THOMAS",20756,,193,2015-09-01
1957,"DINGLE, CHRIS",17595,PO,606,2015-09-01
1958,"DINWIDDIE, JOYCETTA",16981,PO,018,2015-09-01
1959,"DIPASQUALE, SHANNON",,PO,009,2015-09-18
1960,"DISMUKES, MARCUS",9777,PO,004,2015-09-01
1961,"DIXON JR, MILTON",,SGT,002,2015-03-11
1962,"DIXON, CONNIE",,PO,006,2008-12-05
1963,"DIXON, DAN",8287,,,2015-09-01
1964,"DIXON, DARRICK",14968,PO,007,2015-09-18
1964,"DIXON, DARRICK",,,007,2008-12-05
1965,"DIXON, ENRICO",12434,PO,193,2006-05-09
1965,"DIXON, ENRICO",,,253,2015-09-01
1966,"DIXON, HOWARD",15410,PO,312,2015-09-01
1967,"DIXON, RICARDO",19995,PO,007,2015-09-18
1968,"DOBEK, CHRISTOPH",5126,PO,019,2015-09-01
1969,"DOBEK, MIROSLAW",2002,SGT,020,2008-12-05
1969,"DOBEK, MIROSLAW",,,025,2015-03-11
1970,"DOBEK, MIROSLAW",18876,,,2015-03-11
1971,"DOCKERY, ANTHONY",9647,PO,019,2008-12-05
1972,"DODOO, JONAS",13259,PO,704,2006-05-09
1973,"DOERGE, ANDREW",1582,SGT,025,2015-09-01
1974,"DOHERTY ROQUE, ROEL",16494,PO,020,2015-09-01
1975,"DOHERTY, BRIAN",14725,PO,211,2015-09-01
1976,"DOHERTY, CHRISTOPH",5741,PO,003,2015-09-01
1977,"DOHERTY, JOHN",6032,,,2015-03-11
1978,"DOHERTY, RAYMOND",2268,,,2015-03-11
1979,"DOHERTY, THOMAS",8756,,,2015-09-01
1980,"DOHERTY, THOMAS",20624,DET,620,2015-09-18
1981,"DOLAN, CHRISTINE",20527,DET,630,2015-09-01
1982,"DOLAN, JOHN",7722,,193,2015-09-01
1983,"DOLAN, MICHAEL",1779,SGT,004,2015-09-01
1984,"DOLAN, MICHAEL",12352,,007,2008-12-05
1985,"DOMBROWSKI, ANTHONY",1985,SGT,001,2015-09-01
1986,"DOMBROWSKI, DEBORAH",,PO,019,2015-09-18
1987,"DOMER, EMILE",17294,PO,010,2015-09-01
1988,"DOMINGUEZ, ALFREDO",19083,PO,019,2015-09-01
1989,"DOMINGUEZ, GUSTAVO",15235,PO,213,2015-09-01
1990,"DOMINGUEZ, RUBEN",6095,,,2015-09-01
1991,"DOMINGUEZ, VANESSA",16379,PO,413,2015-09-18
1992,"DOMIO, MALCOLM",7900,PO,212,2015-03-11
1993,"DONAHUE, JAMES",19772,PO,009,2008-12-05
1994,"DONAHUE, MICHAEL",11762,PO,007,2015-09-01
1995,"DONAHUE, PATRICK",1718,SGT,020,2015-09-01
1996,"DONAHUE, SEAN",17275,PO,008,2015-09-01
1997,"DONALD, CYNTHIA",4346,PO,001,2015-09-18
1998,"DONALDSON, CECILIA",4725,PO,005,2015-09-01
1999,"DONEGAN, THOMAS",1764,,,2015-09-01
2000,"DONEGAN, THOMAS",,SGT,022,2015-09-01
2001,"DONES, EDDIE",12173,,,2015-09-01
2002,"DONESKE, DARRYL",8160,PO,051,2015-09-01
2003,"DONNELLY, MICHAEL",13784,PO,413,2015-09-01
2004,"DONNELLY, WILLIAM",21607,DET,620,2015-09-01
2005,"DONOHOE, DENISE",7828,PO,001,2015-09-18
2006,"DONOVAN, SARA",7335,PO,020,2015-09-01
2007,"DONOVAN, WILLIAM",12954,PO,005,2015-09-01
2008,"DONOVAN, WILLIAM",14958,,,2015-09-01
2009,"DOODY, DANIEL",19408,PO,008,2015-09-01
2010,"DOOLIN, WILLIAM",14047,PO,004,2015-11-14
2010,"DOOLIN, WILLIAM",,,008,2015-09-01
2011,"DORAN, GREGORY",11334,,,2015-09-01
2012,"DORAU, LESZEK",3225,,,2015-09-01
2013,"DORN, MATHEW",3308,PO,001,2015-09-01
2014,"DORNG, THOMAS",14756,PO,008,2015-11-14
2014,"DORNG, THOMAS",,,008,2006-05-09
2015,"DORONIUK, RICHARD",,,022,2015-09-01
2016,"DORRIS, JOHN",1545,,,2015-09-18
2017,"DORSCH, BRIAN",4257,PO,025,2008-12-05
2018,"DORSCH, STEPHEN",,,,2015-09-01
2019,"DORSEY, SEAN",,,215,2008-12-05
2020,"DORSEY, SYDNEY",17576,,018,2006-05-09
2021,"DORSEY, SYDNEY",,PO,018,2015-09-01
2022,"DOSKOCZ, JERRY",6573,PO,009,2015-09-18
2023,"DOTSON, LARRY",18360,,,2015-09-01
2024,"DOTSON, LARRY",,FTO,006,2015-09-01
2025,"DOTY, JOHN",673,,,2015-09-01
2026,"DOUGHERTY, BRANDON",18356,PO,015,2015-09-01
2027,"DOUGHERTY, BRENDAN",5329,,,2008-12-05
2028,"DOUGHERTY, BRIAN",14755,PO,024,2015-09-18
2029,"DOUGHERTY, CHARLES",18733,PO,001,2015-09-01
2029,"DOUGHERTY, CHARLES",,,021,2015-09-01
2030,"DOUGHERTY, EDWARD",10093,PO,008,2015-09-01
2030,"DOUGHERTY, EDWARD",,,008,2015-09-01
2031,"DOUGHERTY, MICHAEL",1635,SGT,022,2015-09-01
2032,"DOUGHERTY, PHILIP",1244,,020,2015-09-18
2033,"DOUGLAS, DONALD",19333,PO,005,2015-09-18
2034,"DOUGLAS, MARIANN",8755,PO,006,2006-05-09
2035,"DOUGLAS, ROBERT",14428,PO,003,2008-12-05
2036,"DOWD, DONNA",789,LT,376,2015-09-01
2037,"DOWD, JOHN",554,LT,008,2015-09-18
2038,"DOWLING, DANIEL",4651,PO,211,2015-09-01
2039,"DOWLING, DANIEL",12445,PO,007,2015-09-01
2040,"DOWLING, JAMES",21018,DET,610,2015-09-01
2041,"DOWLING, JOHN",12264,PO,007,2015-09-01
2042,"DOWLING, JOHN",19486,PO,009,2008-12-05
2042,"DOWLING, JOHN",,,009,2008-12-05
2043,"DOWLING, RICHARD",,SGT,007,2008-12-05
2044,"DOWNES, THOMAS",20639,DET,620,2015-03-11
2045,"DOWNEY, CORNELIUS",3742,PO,002,2015-09-01
2046,"DOWNING, PAUL",8568,PO,004,2008-12-05
2047,"DOYAL, BYRON",7461,PO,051,2006-05-09
2048,"DOYLE JR, PATRICK",7554,,477,2015-03-11
2049,"DOYLE, BRIAN",5272,PO,016,2008-12-05
2050,"DOYLE, EILEEN",6593,PO,007,2006-05-09
2051,"DOYLE, FRANK",2926,PO,376,2015-09-01
2052,"DOYLE, JACALYN",1018,SGT,025,2015-09-01
2053,"DOYLE, JOHN",17744,PO,012,2015-09-18
2054,"DOYLE, JOHN",,,,2015-09-01
2055,"DOYLE, KARIANNE",8827,PO,020,2015-09-01
2056,"DOYLE, KATHLEEN",7600,PO,004,2008-12-05
2057,"DOYLE, KELLIE",4419,PO,007,2015-09-18
2058,"DOYLE, KEVIN",10677,PO,018,2015-09-01
2059,"DOYLE, PATRICK",5776,PO,016,2015-09-01
2060,"DOYLE, STEPHANIE",10034,,,2015-09-18
2061,"DOYLE, STEPHANIE",,PO,022,2015-09-01
2062,"DRAGOJLOVICH, NENAD",16205,PO,018,2015-09-01
2063,"DRAYTON, KENNETH",1658,SGT,353,2015-09-01
2064,"DRELL, ROBERT",3374,PO,376,2015-09-01
2065,"DREW, TRACEY",13167,PO,005,2008-12-05
2066,"DREWS, TIMOTHY",14875,PO,025,2015-03-11
2067,"DRISH, JAMES",19966,PO,007,2008-12-05
2068,"DRISH, MARILYN",16368,PO,009,2015-09-18
2069,"DRISKILL, SEAN",11932,PO,015,2015-09-01
2070,"DRIVER, FREDERICK",4299,PO,002,2015-09-01
2071,"DRIVER, JOHN",7916,PO,189,2015-09-01
2072,"DROZDEL, DOMINIK",10781,PO,010,2015-09-01
2073,"DRUMGOOLE, KEVIN",19047,PO,189,2015-03-11
2074,"DRURY, FRANCIS",10086,PO,024,2008-12-05
2075,"DUARTE, CYNTHIA",7941,PO,010,2015-09-01
2076,"DUARTE, FRANCISCO",10400,PO,010,2015-09-01
2077,"DUBIEL KITZEROW, BARBARA",18716,PO,010,2015-09-01
2078,"DUBIEL, ROBERT",194,LT,010,2008-12-05
2079,"DUBINSKI, JEFFREY",6050,PO,019,2008-12-05
2079,"DUBINSKI, JEFFREY",,,023,2015-09-01
2080,"DUBOIS, DAVID",2946,PO,007,2015-09-01
2081,"DUBOSE JR, ALFONSIA",5052,PO,003,2015-09-01
2082,"DUCAR, PHILIP",4143,PO,189,2015-11-14
2083,"DUCK, MICHAEL",,PO,005,2006-05-09
2084,"DUCKHORN, NICHOLAS",7385,PO,189,2008-12-05
2085,"DUCKINS, JESSICA",10325,PO,192,2015-09-18
2086,"DUDLEY, WILLIAM",8194,PO,171,2015-11-14
2087,"DUET, JOSEPH",19456,PO,411,2015-11-14
2088,"DUFFIN, KEVIN",392,CMDR,020,2006-05-09
2089,"DUFFIN, MICHAEL",,DET,640,2008-12-05
2090,"DUFFY, CATHLEEN",,,,2006-05-09
2091,"DUFFY, KEVIN",11545,PO,018,2015-03-11
2092,"DUGAN, JASON",15424,PO,005,2006-05-09
2093,"DUGAN, RICHARD",17058,,,2015-09-01
2094,"DUGAN, STEVEN",4386,PO,018,2008-12-05
2095,"DUGGAN, TIMOTHY",4607,PO,393,2015-03-11
2096,"DUHIG, BRIAN",17893,PO,003,2008-12-05
2097,"DUIGNAN, JAMIE",21417,DET,620,2015-09-01
2098,"DUIGNAN, MARK",1726,SGT,003,2008-12-05
2099,"DUIGNAN, MICHAEL",20283,DET,630,2015-09-01
2100,"DUKES JR, REGINALD",11176,PO,189,2015-09-18
2101,"DUMAS, PAUL",9182,,,2015-09-01
2102,"DUNCAN, MARCUS",15296,PO,002,2015-09-01
2103,"DUNCAN, NICHOLAS",10189,PO,003,2015-09-01
2104,"DUNDERDALE, CRAIG",12346,,193,2015-09-01
2105,"DUNN III, GEORGE",5761,PO,025,2008-12-05
2106,"DUNN, CHRISTINE",6105,PO,166,2006-05-09
2107,"DUNN, JOSEPH",4462,PO,011,2015-09-01
2108,"DUNN, WILLIAM",416,CMDR,610,2015-09-01
2109,"DUONG, JIM",16436,PO,123,2015-09-01
2110,"DUPLECHIN, JOSEPH",3413,PO,007,2015-09-01
2111,"DURAN, JOSE",13930,PO,010,2015-09-01
2112,"DURAN, JUAN",6515,PO,015,2015-03-11
2113,"DURAN, LEE",17736,PO,019,2015-03-11
2114,"DURAN, RENE",15514,PO,015,2015-09-01
2115,"DURHAM, SHENETTA",1803,SGT,003,2015-03-11
2116,"DURKIN, MICHAEL",10663,PO,008,2015-03-11
2117,"DURRETT, TASANEE",6154,PO,003,2006-05-09
2118,"DUSICK, PETER",9890,PO,020,2015-09-01
2119,"DUSZAK, DEREK",10658,PO,022,2015-09-01
2120,"DVORATCHEK, JENNIFER",7463,PO,015,2015-09-01
2121,"DWYER, KEVIN",,DET,610,2015-09-01
2122,"DWYER, PATRICIA",,DET,630,2015-09-01
2123,"DWYER, PATRICK",12057,PO,025,2008-12-05
2123,"DWYER, PATRICK",,,025,2006-05-09
2124,"DYBAS, RONALD",3579,PO,620,2015-09-18
2125,"DYCKMAN, JOHN",6904,PO,313,2015-09-01
2126,"DYKER, BRUCE",19236,PO,016,2015-09-01
2127,"DZIADKOWIEC, TERESA",15529,PO,008,2015-09-01
2128,"DZIAK, STEVEN",2080,SGT,125,2015-03-11
2129,"DZIELAK, MICHELLE",19105,PO,009,2015-11-14
2130,"EADES, TIMOTHY",19680,PO,019,2015-09-01
2131,"EAGLIN, DAVID",,PO,003,2015-09-01
2132,"EAKELS, LAWRENCE",18217,PO,011,2015-09-01
2133,"EAKER, WILLIAM",6056,,004,2015-09-01
2134,"EARLS, BARRY",7549,ET,177,2015-09-01
2135,"EARLS, JENNIFER",6269,,,2008-12-05
2136,"EARLS, TIMOTHY",20372,DET,610,2015-03-11
2137,"EARLS, VERONICA",15554,PO,003,2015-09-18
2138,"EARLY, ELISE",7593,PO,015,2015-09-01
2139,"EARNEST, CARSON",543,,008,2015-09-01
2140,"EARNSHAW, JAMES",21134,DET,180,2015-09-18
2141,"EASTERDAY, DARREN",935,SGT,001,2015-09-01
2142,"EASTERDAY, LAURA",17075,PO,001,2015-09-01
2143,"EASTERLING, CELESTINE",8701,PO,022,2015-09-01
2144,"EASTERWOOD, MARK",7541,PO,025,2015-09-18
2145,"EBERHARDT, JOSEPH",,PO,171,2015-09-01
2146,"EBERLE, KEVIN",20817,DET,620,2015-09-18
2147,"EBERSOLE, KEVIN",,PO,011,2015-09-01
2148,"ECHEVARRIA, EDMUND",16665,,059,2015-09-01
2149,"ECHEVERRIA, CESAR",14374,PO,014,2015-09-01
2150,"ECHEVERRIA, DANIEL",13921,,,2015-09-01
2151,"ECHOLS, JAMES",12329,PO,189,2015-09-01
2152,"ECHOLS, JAMES",,,193,2015-09-18
2153,"ECTOR, MELVIN",5083,PO,189,2015-09-18
2154,"EDELING, TIMOTHY",1086,SGT,016,2015-09-18
2155,"EDENS, MICHAEL",13975,PO,014,2006-05-09
2156,"EDWARDS, CHARITA",10095,PO,005,2015-09-01
2157,"EDWARDS, DARRYL",16280,PO,002,2015-09-01
2158,"EDWARDS, DARRYL",19970,PO,011,2015-09-01
2159,"EDWARDS, JASON",19173,PO,189,2015-09-01
2160,"EDWARDS, JEFFREY",13344,PO,193,2015-09-01
2160,"EDWARDS, JEFFREY",,,015,2015-09-01
2161,"EDWARDS, JONATHAN",8401,PO,005,2015-09-01
2162,"EDWARDS, RAEANDA",15126,PO,001,2015-09-01
2163,"EDWARDS, RICKY",,LT,376,2015-09-01
2164,"EGAN, JAMES",2320,SGT,442,2015-09-01
2165,"EGAN, JOHN",9806,PO,024,2015-11-14
2166,"EGAN, MICHAEL",1649,,,2015-09-18
2167,"EGAN, PATRICK",19668,PO,008,2015-09-01
2168,"EGAN, RALPH",1485,SGT,192,2008-12-05
2168,"EGAN, RALPH",,,018,2015-09-01
2169,"EICHLER, DONALD",,PO,023,2015-09-01
2170,"EICHMAN, CLARK",1727,SGT,002,2015-09-01
2171,"EIGENBAUER, ROBERT",14948,PO,701,2015-09-01
2172,"EIGENBAUER, ROBERT",,,,2015-09-01
2173,"EITEL, LISA",4019,PO,019,2015-09-01
2174,"EKERMAN, GLORIA",,DET,630,2015-09-01
2175,"ELARDE, JONATHAN",16154,PO,015,2008-12-05
2176,"ELARDE-HATZIS, BABETTE",14574,PO,020,2015-09-01
2177,"ELDRIDGE, JAMES",2081,SGT,166,2015-09-01
2178,"ELDRIDGE, MARK",4181,PO,008,2008-12-05
2179,"ELFAYER, JOSEPH",3760,,,2006-05-09
2180,"ELIZONDO, GRISELDA",8048,PO,010,2015-09-01
2181,"ELIZONDO, KATHRYN",,PO,019,2015-09-01
2182,"ELIZONDO, ROSA",18638,PO,189,2015-09-01
2183,"ELIZONDO, XAVIER",1340,SGT,003,2015-09-18
2184,"ELIZONDO, XAVIER",16329,,189,2015-09-01
2185,"ELKINS, ERIC",2158,SGT,376,2015-09-01
2185,"ELKINS, ERIC",,,007,2015-09-18
2186,"ELLIOTT, CHRISTOPH",4515,PO,014,2015-09-01
2187,"ELLIOTT, JILL",5500,PO,019,2015-09-01
2188,"ELLIOTT, PEARLETTA",10689,PO,002,2015-09-01
2189,"ELLIOTT, RAY",18606,PO,019,2015-09-01
2190,"ELLIS, ANTHONY",19158,PO,022,2015-09-18
2191,"ELLIS, IVAN",19226,PO,007,2015-09-01
2191,"ELLIS, IVAN",,,007,2015-09-01
2192,"ELLIS, WENDEL",17339,PO,003,2015-09-18
2192,"ELLIS, WENDEL",,,003,2015-09-01
2193,"ELLISON, BRANDON",12599,PO,004,2015-09-01
2194,"ELLISON, JACQUELIN",515,LT,002,2015-09-01
2195,"ELLISON, LARRY",18456,PO,005,2015-09-18
2196,"ELLITCH, RAYMOND",14180,PO,018,2015-09-01
2197,"ELLMAN, CHRISTINE",2133,SGT,022,2015-09-01
2198,"ELMER, CHARLES",17681,,,2015-09-18
2199,"ELMER, KENT",17681,PO,009,2015-09-01
2200,"ELMORE, ROBERT",,SGT,630,2015-09-01
2201,"ELNER, SEAN",6702,PO,145,2015-09-01
2202,"ELSTNER, JOHN",18770,PO,189,2015-09-01
2203,"ENAHORA, SHALAINE",17704,PO,003,2015-09-01
2204,"ENDERLE, DIANA",8148,PO,011,2015-09-01
2205,"ENG, DOUGLAS",12801,PO,161,2015-09-01
2206,"ENG, JESSE",17649,PO,050,2008-12-05
2207,"ENGELHARDT, JOSEPH",4941,PO,008,2006-05-09
2208,"ENGLISH JR, MITCHELL",7647,PO,010,2015-09-01
2209,"ENGLISH, ANTHONY",291,LT,016,2008-12-05
2210,"ENGLISH, DECLAN",,PO,045,2015-09-01
2211,"ENGLISH, MICHAEL",13455,,,2015-09-01
2212,"ENGLISH, MICHAEL",,PO,376,2015-09-01
2213,"ENGSTROM, MARGARET",1785,SGT,001,2008-12-05
2214,"ENRIQUEZ JR, DOMINGO",12794,PO,009,2006-05-09
2215,"ENRIQUEZ JR, DOMINGO",16380,,,2015-09-01
