officer_id,crid,gender,race,race_edit,star,birth_year
2103,1061309,M,BLACK,Black,10189,
6588,1061309,M,SPANISH (DO NOT USE),Hispanic,3424,
7250,1061309,M,WHITE,White,1273,
7520,1061309,M,BLACK,Black,15696,
7908,1061309,M,WHITE,White,2717,
8677,1061309,M,BLACK,Black,10158,
319,1061358,M,WHITE,White,879,
1537,1061358,M,SPANISH (DO NOT USE),Hispanic,7570,
4842,1061358,F,BLACK,Black,12195,
8027,1061358,M,SPANISH (DO NOT USE),Hispanic,19898,
4679,1061399,M,WHITE,White,18829,
5942,1061399,F,SPANISH (DO NOT USE),Hispanic,6345,
5200,1061418,M,WHITE,White,8260,
9100,1061418,F,WHITE,White,8703,
9432,1061471,F,BLACK,Black,6032,
8054,1061479,M,WHITE,White,15327,
466,1061481,M,WHITE,White,1748,
9324,1061481,M,WHITE,White,1316,
9240,1061491,F,WHITE,White,10572,
6194,1061492,F,WHITE HISPANIC,White/Hispanic,8915,
2475,1061494,M,SPANISH (DO NOT USE),Hispanic,9043,
8033,1061514,M,SPANISH (DO NOT USE),Hispanic,2995,
923,1061525,F,SPANISH (DO NOT USE),Hispanic,10915,
7156,1061525,M,SPANISH (DO NOT USE),Hispanic,11169,
1168,1061527,M,WHITE,White,1014,
6021,1061545,M,WHITE,White,12977,
8260,1061545,M,SPANISH (DO NOT USE),Hispanic,19969,
3823,1061558,F,BLACK,Black,9266,
4417,1061558,F,BLACK,Black,17402,
378,1061618,M,WHITE,White,17969,
2571,1061618,M,SPANISH (DO NOT USE),Hispanic,11396,
3075,1061618,M,WHITE,White,14029,
3586,1061618,F,SPANISH (DO NOT USE),Hispanic,12452,
8211,1061618,M,WHITE,White,15145,
382,1061715,M,WHITE,White,6772,
1516,1061715,M,SPANISH (DO NOT USE),Hispanic,11155,
4376,1061715,M,WHITE,White,15916,
5726,1061715,M,WHITE,White,3536,
6860,1061715,M,SPANISH (DO NOT USE),Hispanic,4743,
9353,1061715,M,SPANISH (DO NOT USE),Hispanic,12139,
8965,1061758,F,WHITE,White,17547,
9310,1061758,F,WHITE,White,2124,
1564,1061801,M,WHITE,White,1258,
9490,1061801,M,SPANISH (DO NOT USE),Hispanic,10721,
9577,1061801,F,WHITE,White,16935,
9037,1061820,F,BLACK,Black,9387,
9213,1061820,M,BLACK,Black,12001,
9215,1061820,F,BLACK,Black,12534,
9337,1061825,M,WHITE,White,7336,
6213,1061826,F,SPANISH (DO NOT USE),Hispanic,3526,
0,1061832,F,WHITE,White,,
5709,1061833,F,BLACK,Black,18292,
7445,1061833,M,BLACK,Black,10221,
0,1061842,M,WHITE,White,,
5143,1061851,M,WHITE,White,13378,
8234,1061851,M,WHITE,White,4902,
9652,1061885,F,BLACK,Black,2374,
1803,1061898,M,SPANISH (DO NOT USE),Hispanic,10009,
2264,1061898,M,SPANISH (DO NOT USE),Hispanic,11910,
3627,1061900,F,BLACK,Black,12398,
3823,1061900,F,BLACK,Black,9266,
9170,1061900,M,SPANISH (DO NOT USE),Hispanic,987,
152,1061902,M,WHITE,White,10456,
337,1061902,M,WHITE,White,15785,
5733,1061903,M,SPANISH (DO NOT USE),Hispanic,19811,
1641,1061906,M,SPANISH (DO NOT USE),Hispanic,5437,
9101,1061906,M,WHITE,White,12393,
4424,1061918,M,WHITE,White,9073,
6450,1061918,M,WHITE,White,4729,
2768,1061920,M,WHITE,White,2500,
8169,1061920,M,SPANISH (DO NOT USE),Hispanic,484,
8962,1061920,M,SPANISH (DO NOT USE),Hispanic,3215,
5414,1061932,M,BLACK,Black,16838,
3764,1061983,M,WHITE,White,2005,
4708,1061983,M,WHITE,White,5156,
7826,1061983,F,SPANISH (DO NOT USE),Hispanic,4159,
9000,1061983,M,WHITE,White,17089,
9150,1061983,M,WHITE,White,5757,
9535,1062005,M,WHITE,White,,
3207,1062131,M,BLACK,Black,4110,
3073,1062181,M,WHITE,White,10547,
4424,1062181,M,WHITE,White,9073,
6555,1062181,M,SPANISH (DO NOT USE),Hispanic,17803,
2855,1062190,M,WHITE,White,6508,
3694,1062190,M,WHITE,White,9619,
4187,1062190,M,WHITE,White,19705,
9189,1062190,M,WHITE,White,,
9554,1062190,M,SPANISH (DO NOT USE),Hispanic,,
8938,1062259,F,WHITE,White,5257,
9075,1062265,M,WHITE,White,20246,
9512,1062276,M,WHITE,White,2164,
1724,1062310,M,WHITE,White,6150,
