officer_id,crid,gender,race,race_edit,star,birth_year
2916,1066697,M,SPANISH (DO NOT USE),Hispanic,10516,
3042,1066697,M,WHITE,White,11686,
4139,1066697,M,WHITE,White,6531,
5552,1066697,M,WHITE,White,10079,
6420,1066697,M,WHITE,White,16850,
7459,1066697,M,WHITE,White,9210,
7865,1066697,M,WHITE,White,622,
8548,1066697,M,WHITE,White,16446,
8619,1066697,M,WHITE,White,7394,
557,1066710,M,WHITE,White,528,
1743,1066710,M,WHITE,White,199,
2807,1066713,M,BLACK,Black,12486,
9088,1066756,M,WHITE,White,8131,
1851,1066781,M,WHITE,White,4024,
3916,1066781,M,WHITE,White,8143,
4710,1066781,M,WHITE,White,11549,
6884,1066781,M,SPANISH (DO NOT USE),Hispanic,16967,
1540,1066825,F,SPANISH (DO NOT USE),Hispanic,18690,
5105,1066825,F,WHITE,White,6810,
4491,1066828,F,WHITE,White,15851,
4688,1066828,M,WHITE,White,10518,
294,1066870,M,WHITE,White,17199,
3815,1066870,M,BLACK,Black,3471,
4095,1066870,M,ASIAN/PACIFIC ISLANDER,Asian,15749,
6925,1066870,M,SPANISH (DO NOT USE),Hispanic,871,
7635,1066870,M,WHITE,White,1320,
8971,1066870,M,WHITE,White,,
9323,1066870,M,WHITE,White,,
0,1066916,M,WHITE,White,,
9014,1066953,M,WHITE,White,2378,
9507,1066953,M,WHITE,White,5896,
1310,1066961,M,BLACK,Black,13142,
2170,1066961,M,WHITE,White,1727,
3508,1066961,M,BLACK,Black,13874,
4056,1066961,M,BLACK,Black,916,
7509,1066961,M,BLACK,Black,5893,
9078,1066961,M,WHITE,White,11317,
9297,1066961,F,BLACK,Black,15380,
9474,1066961,M,BLACK,Black,18620,
